record_id	species_common	species_scientific	taxid	receptor	gene_symbol	locus_or_paralog	isoform	source_database	fetch_id	refseq_protein	uniprot_id	uniprot_candidate	seed_record_id	curation_status	panel_role	fetch_now	preferred_initial_alignment	ectodomain_start_1based	ectodomain_end_1based	expected_full_length	notes
human_NKG2A_uniprot_P26715	human	Homo sapiens	9606	NKG2A	KLRC1	KLRC1	UniProt canonical NKG2-A	uniprot	P26715	NP_002250.2	P26715		human_NKG2A_uniprot_P26715	verified_seed_from_UniProt	required_reference	yes	yes	94	233	233	UniProt canonical carries N at residue 29. Compare explicitly with RefSeq NP_002250.2 before merging records.
human_NKG2A_refseq_NP_002250_2	human	Homo sapiens	9606	NKG2A	KLRC1	KLRC1	RefSeq transcript variant 1 / MANE Select	ncbi	NP_002250.2	NP_002250.2		P26715		download_and_compare	required_reference_comparison	yes	no	94	233	233	Kept separate because RefSeq and UniProt may encode a residue-29 allele difference.
human_NKG2A_isoform_C_JC	human	Homo sapiens	9606	NKG2A	KLRC1	KLRC1	isoform C	provided	NP_001291377.1	NP_001291377.1			human_NKG2A_isoform_C_JC	provided_by_JC	comparison_only	yes	no	94	228	228	Sequence in JC RTF; lacks the canonical C-terminal CKHKL segment.
human_NKG2C_refseq_NP_002251_2	human	Homo sapiens	9606	NKG2C	KLRC2	KLRC2	canonical	ncbi	NP_002251.2	NP_002251.2	P26717		human_NKG2C_refseq_NP_002251_2	provided_by_JC_pending_refetch	required_reference	yes	yes	94	231	231	Sequence copied from JC RTF and refetched online when possible.
rhesus_NKG2A_refseq_NP_001028001_2	rhesus_macaque	Macaca mulatta	9544	NKG2A	NKG2A/KLRC1-like	NKG2A	canonical full length	ncbi	NP_001028001.2	NP_001028001.2	Q9MZJ3		rhesus_NKG2A_refseq_NP_001028001_2	provided_by_JC_pending_refetch	required_reference	yes	yes	94	233	233	UniProt Q9MZJ3 annotates residues 94-233 as extracellular.
rhesus_NKG2C_refseq_NP_001098647_2	rhesus_macaque	Macaca mulatta	9544	NKG2C	KLRC-like	paralog_not_yet_resolved	isoform 2	ncbi	NP_001098647.2	NP_001098647.2		Q9MZK6	rhesus_NKG2C_refseq_NP_001098647_2	provided_by_JC_paralog_mapping_required	required_provisional	yes	yes	94	231	231	Do not label as NKG2C-1, -2, or -3 until gene/locus mapping is verified.
rhesus_NKG2C2_legacy_NP_001038194_2	rhesus_macaque	Macaca mulatta	9544	NKG2C	KLRC-like	historical NKG2-C2 label	long-stalk transcript	ncbi	NP_001038194.2	NP_001038194.2	Q9MZK2		rhesus_NKG2C2_legacy_NP_001038194_2	legacy_candidate_requires_locus_review	candidate_comparison	yes	no	94	246	246	Contains a longer stalk. Keep as candidate; do not substitute for the complete three-paralog panel.
rhesus_NKG2C_1_locus	rhesus_macaque	Macaca mulatta	9544	NKG2C	rhKLRC2	NKG2C-1	to curate	to_curate				Q9MZK6		required_missing	required_paralog	no	no				Resolve genomic locus, transcript, accession, and splice form.
rhesus_NKG2C_2_locus	rhesus_macaque	Macaca mulatta	9544	NKG2C	rhKLRC3	NKG2C-2	stalk splice forms to curate	to_curate				Q9MZK2		required_missing	required_paralog	no	no				Resolve short/long stalk splice variants and map historical NKG2-C2 terminology.
rhesus_NKG2C_3_locus	rhesus_macaque	Macaca mulatta	9544	NKG2C	rhKLRC4	NKG2C-3	to curate	to_curate						required_missing	required_paralog	no	no				Resolve genomic locus and protein sequence; required for negative design.
pigtail_NKG2A	pig_tailed_macaque	Macaca nemestrina	9545	NKG2A	KLRC1-like	NKG2A	to curate	to_curate						required_missing	required_species_target	no	no				Search protein annotations and, if necessary, infer from the KLRC locus with synteny support.
pigtail_NKG2C_candidates	pig_tailed_macaque	Macaca nemestrina	9545	NKG2C	KLRC2/3/4-like	all credible activating paralogs	to curate	to_curate						required_missing	required_negative_panel	no	no				Do not stop at the first NKG2C-like hit; identify all locus-supported paralogs and splice forms.
human_CD94	human	Homo sapiens	9606	CD94	KLRD1	KLRD1	canonical	uniprot	Q13241		Q13241			partner_download_required	heterodimer_partner	yes	no			179	Needed later for CD94/NKG2 heterodimer modeling; boundary will be curated from record features.
rhesus_CD94	rhesus_macaque	Macaca mulatta	9544	CD94	KLRD1	KLRD1	to curate	to_curate						partner_missing	heterodimer_partner	no	no				Needed later for species-matched CD94/NKG2 structural models.
pigtail_CD94	pig_tailed_macaque	Macaca nemestrina	9545	CD94	KLRD1	KLRD1	to curate	to_curate						partner_missing	heterodimer_partner	no	no				Needed later for species-matched CD94/NKG2 structural models.
