sequence_1	sequence_2	matches	positions_compared	identity_percent
human_NKG2A_P26715	human_NKG2C_NP_002251.2	176	231	76.190
human_NKG2A_P26715	rhesus_NKG2A_NP_001028001.3	200	233	85.837
human_NKG2A_P26715	rhesus_NKG2C_iso1_NP_001305287.3	158	231	68.398
human_NKG2A_P26715	rhesus_NKG2C_iso2_NP_001098647.3	159	231	68.831
human_NKG2A_P26715	pigtail_NKG2A_XP_070928357.1	196	233	84.120
human_NKG2A_P26715	pigtail_NKG2C_XP_070928345.1	160	231	69.264
human_NKG2C_NP_002251.2	rhesus_NKG2A_NP_001028001.3	162	231	70.130
human_NKG2C_NP_002251.2	rhesus_NKG2C_iso1_NP_001305287.3	207	231	89.610
human_NKG2C_NP_002251.2	rhesus_NKG2C_iso2_NP_001098647.3	208	231	90.043
human_NKG2C_NP_002251.2	pigtail_NKG2A_XP_070928357.1	155	231	67.100
human_NKG2C_NP_002251.2	pigtail_NKG2C_XP_070928345.1	206	231	89.177
rhesus_NKG2A_NP_001028001.3	rhesus_NKG2C_iso1_NP_001305287.3	175	231	75.758
rhesus_NKG2A_NP_001028001.3	rhesus_NKG2C_iso2_NP_001098647.3	176	231	76.190
rhesus_NKG2A_NP_001028001.3	pigtail_NKG2A_XP_070928357.1	221	233	94.850
rhesus_NKG2A_NP_001028001.3	pigtail_NKG2C_XP_070928345.1	172	231	74.459
rhesus_NKG2C_iso1_NP_001305287.3	rhesus_NKG2C_iso2_NP_001098647.3	230	231	99.567
rhesus_NKG2C_iso1_NP_001305287.3	pigtail_NKG2A_XP_070928357.1	168	231	72.727
rhesus_NKG2C_iso1_NP_001305287.3	pigtail_NKG2C_XP_070928345.1	214	231	92.641
rhesus_NKG2C_iso2_NP_001098647.3	pigtail_NKG2A_XP_070928357.1	169	231	73.160
rhesus_NKG2C_iso2_NP_001098647.3	pigtail_NKG2C_XP_070928345.1	213	231	92.208
pigtail_NKG2A_XP_070928357.1	pigtail_NKG2C_XP_070928345.1	162	231	70.130
