search_id	rank	species_common	species_scientific	target	protein_uid	accession	protein_title	taxid	sequence_length	update_date	query	curation_decision	curation_notes
rhesus_NKG2C	1	rhesus_macaque	Macaca mulatta	NKG2C	20978530	Q9MZK6.1	RecName: Full=NKG2-C type II integral membrane protein; AltName: Full=CD159 antigen-like family member C; AltName: Full=NK cell receptor C; AltName: Full=NKG2-C-activating NK receptor; AltName: CD_antigen=CD159c	9544	231	2026/06/10	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
rhesus_NKG2C	2	rhesus_macaque	Macaca mulatta	NKG2C	3272997355	NP_001305287.3	NKG2-C type II integral membrane protein isoform 1 [Macaca mulatta]	9544	231	2026/05/25	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
rhesus_NKG2C	3	rhesus_macaque	Macaca mulatta	NKG2C	3272913643	NP_001098647.3	NKG2-C type II integral membrane protein isoform 2 [Macaca mulatta]	9544	231	2026/05/25	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
rhesus_NKG2C	4	rhesus_macaque	Macaca mulatta	NKG2C	3336078724	NP_001038194.3	NKG2-E type II integral membrane protein isoform 1 [Macaca mulatta]	9544	246	2026/05/21	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
rhesus_NKG2C	5	rhesus_macaque	Macaca mulatta	NKG2C	3336071609	NP_001433602.1	NKG2-E type II integral membrane protein isoform 2 [Macaca mulatta]	9544	231	2026/05/21	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
rhesus_NKG2C	6	rhesus_macaque	Macaca mulatta	NKG2C	3272850161	NP_001028001.3	NKG2-A/NKG2-B type II integral membrane protein [Macaca mulatta]	9544	233	2026/04/16	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
rhesus_NKG2C	7	rhesus_macaque	Macaca mulatta	NKG2C	111074550	NP_001036105.1	natural cytotoxicity triggering receptor 3 precursor [Macaca mulatta]	9544	180	2026/03/30	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
rhesus_NKG2C	8	rhesus_macaque	Macaca mulatta	NKG2C	74136475	NP_001028133.1	killer cell lectin-like receptor subfamily F member 1 [Macaca mulatta]	9544	231	2026/02/16	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
rhesus_NKG2C	9	rhesus_macaque	Macaca mulatta	NKG2C	74136333	NP_001028061.1	NKG2-D type II integral membrane protein [Macaca mulatta]	9544	216	2026/01/19	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
rhesus_NKG2C	10	rhesus_macaque	Macaca mulatta	NKG2C	74136217	NP_001028000.1	natural killer cells antigen CD94 [Macaca mulatta]	9544	179	2025/12/29	"Macaca mulatta[Organism] AND (""NKG2-C""[Protein Name] OR ""NKG2C""[All Fields] OR ""KLRC2""[All Fields] OR ""killer cell lectin like receptor C2""[All Fields])"		
