search_record_id	species	gene_search_term	gene_id	gene_name	gene_description	chromosome	aliases	gene_status	current_gene_id	protein_uid	protein_accession	protein_title	protein_length	query
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			3272850161	NP_001028001.3	NKG2-A/NKG2-B type II integral membrane protein [Macaca mulatta]	233	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			3129256099	XP_077809683.1	NKG2-A/NKG2-B type II integral membrane protein isoform X3 [Macaca mulatta]	201	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			3129256095	XP_077809682.1	NKG2-A/NKG2-B type II integral membrane protein isoform X2 [Macaca mulatta]	215	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			3129256092	XP_077809681.1	NKG2-A/NKG2-B type II integral membrane protein isoform X2 [Macaca mulatta]	215	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			3129256089	XP_077809680.1	NKG2-A/NKG2-B type II integral membrane protein isoform X1 [Macaca mulatta]	233	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			51241569	CAE51860.1	NKG2A protein [Macaca mulatta]	233	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			20978528	Q9MZJ3.1	RecName: Full=NKG2-A/NKG2-B type II integral membrane protein; AltName: Full=CD159 antigen-like family member A; AltName: Full=NK cell receptor A; AltName: Full=NKG2-A/B-activating NK receptor; AltName: CD_antigen=CD159a	233	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			15420810	AAK97467.1	NKG2-A [Macaca mulatta]	233	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			15420808	AAK97466.1	NKG2-A [Macaca mulatta]	233	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			15420806	AAK97465.1	NKG2-A [Macaca mulatta]	233	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			11344854	AAG34503.1	NKG2-A [Macaca mulatta]	233	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			8163751	AAF73840.1	NKG2-Bdtm [Macaca mulatta]	183	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			8163749	AAF73839.1	NKG2-Adtm- [Macaca mulatta]	201	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			8163747	AAF73838.1	NKG2-Adtm [Macaca mulatta]	201	Macaca mulatta[Organism] AND KLRC2[All Fields]
rhesus_KLRC2	Macaca mulatta	KLRC2	574146	KLRC1	killer cell lectin like receptor C1	11	CD159a, NKG2-A, NKG2A			8163745	AAF73837.1	NKG2-B [Macaca mulatta]	215	Macaca mulatta[Organism] AND KLRC2[All Fields]
