sequence_1	sequence_2	matches	positions_compared	identity_percent
human_NKG2A|P26715|ecto_94-233	human_NKG2C|NP_002251.2|ecto_94-231	125	137	91.241
human_NKG2A|P26715|ecto_94-233	rhesus_NKG2A|NP_001028001.3|ecto_94-233	116	140	82.857
human_NKG2A|P26715|ecto_94-233	rhesus_NKG2C_isoform1|NP_001305287.3|ecto_94-231	109	137	79.562
human_NKG2A|P26715|ecto_94-233	rhesus_NKG2C_isoform2|NP_001098647.3|ecto_94-231	110	137	80.292
human_NKG2A|P26715|ecto_94-233	pigtail_NKG2A|XP_070928357.1|ecto_94-233	114	140	81.429
human_NKG2A|P26715|ecto_94-233	pigtail_NKG2C|XP_070928345.1|ecto_94-231	110	137	80.292
human_NKG2C|NP_002251.2|ecto_94-231	rhesus_NKG2A|NP_001028001.3|ecto_94-233	110	137	80.292
human_NKG2C|NP_002251.2|ecto_94-231	rhesus_NKG2C_isoform1|NP_001305287.3|ecto_94-231	116	138	84.058
human_NKG2C|NP_002251.2|ecto_94-231	rhesus_NKG2C_isoform2|NP_001098647.3|ecto_94-231	117	138	84.783
human_NKG2C|NP_002251.2|ecto_94-231	pigtail_NKG2A|XP_070928357.1|ecto_94-233	108	137	78.832
human_NKG2C|NP_002251.2|ecto_94-231	pigtail_NKG2C|XP_070928345.1|ecto_94-231	116	138	84.058
rhesus_NKG2A|NP_001028001.3|ecto_94-233	rhesus_NKG2C_isoform1|NP_001305287.3|ecto_94-231	125	137	91.241
rhesus_NKG2A|NP_001028001.3|ecto_94-233	rhesus_NKG2C_isoform2|NP_001098647.3|ecto_94-231	126	137	91.971
rhesus_NKG2A|NP_001028001.3|ecto_94-233	pigtail_NKG2A|XP_070928357.1|ecto_94-233	134	140	95.714
rhesus_NKG2A|NP_001028001.3|ecto_94-233	pigtail_NKG2C|XP_070928345.1|ecto_94-231	121	137	88.321
rhesus_NKG2C_isoform1|NP_001305287.3|ecto_94-231	rhesus_NKG2C_isoform2|NP_001098647.3|ecto_94-231	137	138	99.275
rhesus_NKG2C_isoform1|NP_001305287.3|ecto_94-231	pigtail_NKG2A|XP_070928357.1|ecto_94-233	123	137	89.781
rhesus_NKG2C_isoform1|NP_001305287.3|ecto_94-231	pigtail_NKG2C|XP_070928345.1|ecto_94-231	125	138	90.580
rhesus_NKG2C_isoform2|NP_001098647.3|ecto_94-231	pigtail_NKG2A|XP_070928357.1|ecto_94-233	124	137	90.511
rhesus_NKG2C_isoform2|NP_001098647.3|ecto_94-231	pigtail_NKG2C|XP_070928345.1|ecto_94-231	124	138	89.855
pigtail_NKG2A|XP_070928357.1|ecto_94-233	pigtail_NKG2C|XP_070928345.1|ecto_94-231	116	137	84.672
